,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
5291,999990.0,2.0,1.0,3.0,1368.0,3135.0,1925.0,7.0,27.0,2017.0,40.6700309,-73.9335622,0.8009523023427154,2.4157587005605734,217.81911882531145,3,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,1384,2,S2, ,11213,1,S2,0
5292,302000.0,1.0,0.0,1.0,702.0,938.0,1992.0,7.0,29.0,2017.0,40.615238700000006,-74.079054,2.2621996116876426,3.112945303500477,217.92658256280117,5,CONCORD-FOX HILLS,01 ONE FAMILY DWELLINGS                    ,1,2925,208,A5, ,10304,1,A5,0
5293,565000.0,2.0,0.0,2.0,2250.0,1650.0,1965.0,3.0,12.0,2017.0,40.840506500000004,-73.83130390000001,1.3141237379316104,3.8893849022807028,217.81708383379475,2,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY DWELLINGS                    ,1,5390,12,B1, ,10461,1,B1,0
5294,495000.0,2.0,0.0,2.0,3400.0,1568.0,1930.0,11.0,44.0,2016.0,40.700595,-73.761898,3.4486871702144826,1.053029630227153,217.85293503436037,4,ST. ALBANS,02 TWO FAMILY DWELLINGS                    ,1,10968,74,B3, ,11412,1,B3,1
5295,450000.0,2.0,0.0,2.0,2473.0,1914.0,1960.0,7.0,28.0,2017.0,40.59658719999999,-73.77897270000001,0.8664141741384861,2.386380336260134,217.84626237880536,4,ARVERNE,02 TWO FAMILY DWELLINGS                    ,1,15972,15,B9, ,11691,1,B9,0
5296,512900.0,1.0,0.0,1.0,1759.0,1700.0,2004.0,10.0,40.0,2016.0,40.5414377,-74.17503070000001,4.4445471222061705,3.285846606117583,217.93337249020638,5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,6219,20,A5, ,10312,1,A5,1
5297,680000.0,2.0,0.0,2.0,2000.0,1122.0,1920.0,7.0,30.0,2017.0,40.663211100000005,-73.8852431,0.9476826453356283,2.3156813844153143,217.8703386903117,3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4308,35,B2, ,11207,1,B2,0
5298,1426500.0,1.0,0.0,1.0,5000.0,3006.0,1930.0,9.0,39.0,2016.0,40.626500799999995,-73.951435,2.811385872146039,0.6795674659303119,217.85507021860312,3,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,7589,8,A1, ,11210,1,A1,1
5299,950000.0,2.0,0.0,2.0,1768.0,2000.0,1915.0,6.0,24.0,2017.0,40.6956427,-73.9123343,0.6510359705758741,2.7372619678762034,217.85290923909997,3,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,1,3365,108,B1, ,11221,1,B1,0
5300,2550000.0,0.0,1.0,1.0,2240.0,900.0,1980.0,8.0,31.0,2017.0,40.5980429,-74.08234,2.3581641607413766,2.9227929913134663,217.9453802251722,5,SOUTH BEACH,22 STORE BUILDINGS                         ,4,3235,68,K1, ,10305,4,K1,0
5301,320000.0,1.0,0.0,1.0,2546.0,1152.0,1930.0,2.0,7.0,2017.0,40.6252505,-73.93430390000002,0.9564814672051458,4.070503078933394,217.9207591387939,3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,7813,114,A5, ,11234,1,A5,0
