,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
4891,635000.0,1.0,0.0,1.0,4650.0,1623.0,1955.0,2.0,7.0,2017.0,40.71998920000001,-73.7627435,4.283420531619725,1.7033239184250655,218.08390100067126,4,HOLLISWOOD,01 ONE FAMILY DWELLINGS                    ,1,10531,30,A2, ,11423,1,A2,1
4892,1350000.0,2.0,0.0,2.0,5000.0,3401.0,2006.0,1.0,2.0,2017.0,40.7811764,-73.810355,5.100926972292127,2.9126501698585665,218.0047162568679,4,WHITESTONE,02 TWO FAMILY DWELLINGS                    ,1,4706,21,B2, ,11357,1,B2,1
4893,370000.0,2.0,0.0,2.0,2400.0,1900.0,1930.0,4.0,14.0,2017.0,40.6579445,-73.90647879999999,3.4851341248198726,0.6036959343046324,218.06947880590045,3,BROWNSVILLE,02 TWO FAMILY DWELLINGS                    ,1,3627,16,B1, ,11212,1,B1,1
4894,484500.0,1.0,0.0,1.0,1600.0,1120.0,1960.0,7.0,30.0,2017.0,40.632769,-73.90728,2.6695893151322694,1.4468131687924266,218.13606085432923,3,CANARSIE,01 ONE FAMILY DWELLINGS                    ,1,8048,31,A5, ,11236,1,A5,1
4895,990000.0,2.0,0.0,2.0,2500.0,2919.0,1950.0,5.0,20.0,2017.0,40.718059600000004,-73.87730490000001,3.118367865919655,0.582716017706181,218.03788019706184,4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,3002,6,B1, ,11379,1,B1,1
4896,1450000.0,3.0,0.0,3.0,4000.0,3669.0,1991.0,3.0,12.0,2017.0,40.738044,-73.806905,4.1661802805513055,2.0331281981559037,217.95753304122906,4,FLUSHING-SOUTH,03 THREE FAMILY DWELLINGS                  ,1,6757,37,C0, ,11365,1,C0,1
4897,1580000.0,3.0,0.0,3.0,1800.0,2538.0,1901.0,9.0,38.0,2016.0,40.7249589,-73.94510939999998,1.5098890084929273,3.1306892886551565,218.03574472070494,3,GREENPOINT,03 THREE FAMILY DWELLINGS                  ,1,2686,83,C0, ,11222,1,C0,0
4898,1080000.0,1.0,0.0,1.0,2800.0,1900.0,1925.0,8.0,35.0,2017.0,40.751615,-73.89193,2.4661025952899585,1.77497478448992,218.10411161990012,4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,1261,49,A5, ,11372,1,A5,1
4899,1055000.0,1.0,0.0,1.0,3788.0,1472.0,1935.0,6.0,25.0,2017.0,40.72201,-73.78966199999998,2.990009137713134,1.289640704617246,218.09326723429106,4,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS                    ,1,7233,105,A1, ,11432,1,A1,1
4900,550000.0,1.0,0.0,1.0,3700.0,1660.0,1930.0,11.0,48.0,2016.0,40.7236575,-73.7469698,1.5294368913994465,3.759688036613896,218.10817586066935,4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10657,140,A1, ,11427,1,A1,0
