,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
1745,885000.0,2.0,0.0,2.0,1270.0,2000.0,1925.0,6.0,23.0,2017.0,40.5889908,-73.9631836,2.305391255645354,3.22638949124114,1.7162064362199687,218.09014252594184,176.07876181634919,3,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS                    ,1,7223,1,B1, ,11235,1,B1,2
1746,740000.0,2.0,0.0,2.0,3000.0,2070.0,1920.0,4.0,14.0,2017.0,40.6879174,-73.8181094,3.5791029835145673,3.541374213158562,0.7596974925370039,218.0547459514869,176.07814612468746,4,RICHMOND HILL,02 TWO FAMILY DWELLINGS                    ,1,9580,83,B3, ,11419,1,B3,2
1747,460000.0,1.0,0.0,1.0,3000.0,1328.0,1930.0,10.0,40.0,2016.0,40.701758,-73.757801,4.2392860035906645,1.1206826523708617,3.1773107652781767,218.12112028688128,176.07114054255217,4,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,10973,11,A1, ,11412,1,A1,1
1748,390000.0,4.0,0.0,4.0,2500.0,3116.0,1930.0,9.0,36.0,2016.0,40.6666695,-73.92196630000002,3.1368629347042924,0.9096190204756694,2.834388688088986,217.96123629883022,176.00329645945533,3,BROWNSVILLE,07 RENTALS - WALKUP APARTMENTS             ,2A,3509,47,C3, ,11212,2,C3,1
1749,685000.0,2.0,0.0,2.0,1937.0,1948.0,1901.0,10.0,41.0,2016.0,40.6922489,-73.83252,4.302340967420148,1.2532814824435323,3.26554483049271,218.0880905009152,176.0479889724372,4,RICHMOND HILL,02 TWO FAMILY DWELLINGS                    ,1,9399,53,B2, ,11419,1,B2,1
1750,457000.0,1.0,0.0,1.0,4000.0,1288.0,1945.0,11.0,45.0,2016.0,40.67927299999999,-73.734881,4.31651931966389,1.3350504402463217,3.5847493453811077,218.10936719229676,176.07364278228832,4,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,12911,66,A2, ,11422,1,A2,1
1751,610000.0,2.0,0.0,2.0,4680.0,1804.0,1925.0,11.0,48.0,2016.0,40.71500899999999,-73.7329,4.7187803621220095,1.332943545679936,3.6630689703059005,218.0477643838931,176.0476093262161,4,QUEENS VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,10779,36,B3, ,11429,1,B3,1
1752,499000.0,1.0,0.0,1.0,2375.0,1136.0,1920.0,10.0,43.0,2016.0,40.721173,-73.7471848,4.555694587155194,1.27000932103213,3.3271503800693663,218.13609490024024,176.0708786307882,4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10637,9,A1, ,11428,1,A1,1
1753,406000.0,4.0,0.0,4.0,2500.0,3900.0,1930.0,8.0,32.0,2017.0,40.660163,-73.912555,2.7102895354956744,2.4372195895615256,1.563758256186906,217.93381884725622,176.01712180179265,3,BROWNSVILLE,07 RENTALS - WALKUP APARTMENTS             ,2A,3598,31,C3, ,11212,2,C3,2
1754,420000.0,1.0,0.0,1.0,1520.0,1586.0,1960.0,3.0,13.0,2017.0,40.712663,-73.732556,3.842245553862502,3.950939396372535,1.5441178952094237,218.1229801973946,176.1112404663467,4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,10777,67,A5, ,11429,1,A5,2
1755,830000.0,2.0,0.0,2.0,1584.0,2286.0,1925.0,3.0,11.0,2017.0,40.626267,-73.97551,2.640851287214902,3.926537309445767,1.4461156668462458,218.0828566415802,176.0922603113564,3,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS                    ,1,6504,27,B1, ,11230,1,B1,2
1756,1250000.0,3.0,0.0,3.0,2500.0,2600.0,1930.0,3.0,11.0,2017.0,40.6075366,-73.97358140000001,2.5088478637671057,3.97011551049875,1.5744244450431035,218.01899746506228,176.06959073948295,3,GRAVESEND,03 THREE FAMILY DWELLINGS                  ,1,6632,62,C0, ,11223,1,C0,2
1757,455000.0,1.0,0.0,1.0,2240.0,1350.0,2003.0,11.0,44.0,2016.0,40.5876345,-74.1883337,2.5858667922650502,3.571739819789847,4.964769808910918,218.1724521052973,176.1267732204946,5,TRAVIS,01 ONE FAMILY DWELLINGS                    ,1,2643,35,A5, ,10314,1,A5,0
