,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,deucli_k6,deucli_k7,deucli_k8,deucli_k9,deucli_k10,SALE PRICE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE
0,1,0,1,2625,2520,1925,7,27,2017,40.71368229999999,-73.879285,0.10594349173210969,0.1419953344949657,0.06678315537521225,0.10778718853697306,0.07794987067985266,0.3014360121076846,0.03279174390788425,0.13261823983854615,0.04059699159350722,0.0074148038761366825,880000.0,4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,3058,55,A1, ,11379,1,A1
1,4,0,4,3000,3198,1920,2,8,2017,40.656904,-73.9143066,0.11782453510964139,0.08221498867282981,0.09845499776807917,0.15400099391683664,0.02145743252115213,0.24799776268402537,0.06506015538477523,0.19386815296537857,0.09279865164145425,0.06124902808874851,633603.0,3,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS             ,2A,4694,76,C3,4,11212,2,C3
2,2,0,2,2090,1993,1945,10,40,2016,40.5989432,-74.0059467,0.1613251208595832,0.030336495910766578,0.20475375036511204,0.26139885046357597,0.09301009488583929,0.14610211251736951,0.17344421558167375,0.2811182904842724,0.1833551002166691,0.1641691465391231,165000.0,3,BATH BEACH,02 TWO FAMILY DWELLINGS                    ,1,6468,38,B9, ,11214,1,B9
3,1,0,1,1700,1600,1950,9,39,2016,40.7387897,-73.7760338,0.20061103828192714,0.24243786241285162,0.07018206553639357,0.024660755659636487,0.1780416790765876,0.4060098232027685,0.09565991287140026,0.1439645826881803,0.1243577300088892,0.11365526306181259,785000.0,4,FRESH MEADOWS,01 ONE FAMILY DWELLINGS                    ,1,7126,15,A5, ,11365,1,A5
4,1,0,1,4000,1125,1950,8,34,2017,40.6605149,-73.844275,0.16335237029650176,0.1500197145762195,0.03390750772157437,0.09064050379168599,0.09130148657311059,0.3164430130525985,0.03148401801857521,0.18764563866916567,0.10422899126285227,0.06601526872318769,650000.0,4,HOWARD BEACH,01 ONE FAMILY DWELLINGS                    ,1,13968,87,A2, ,11414,1,A2
5,2,0,2,1900,3800,1899,1,4,2017,40.7379287,-74.0041054,0.034386922648873344,0.11408078254405075,0.1923103452171831,0.23377612626426642,0.1039579818144206,0.21317105453547422,0.15436050042540503,0.17073966619138367,0.10464584980106072,0.12071964691043831,3300000.0,3,PARK SLOPE,02 TWO FAMILY DWELLINGS                    ,1,1061,40,B3, ,11217,1,B3
6,2,0,2,2533,2519,1960,4,14,2017,40.6461446,-73.89139589999999,0.13965317658099893,0.10086769205241246,0.08106466374785648,0.1380358079585202,0.04622746456464255,0.26725476839570583,0.05450242169593352,0.20089405796237553,0.10281034413389598,0.06544551078733996,460000.0,3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8232,53,B1, ,11236,1,B1
7,3,0,3,4958,2180,1930,2,5,2017,40.8306729,-73.86252309999999,0.13487864590144671,0.24218687406279985,0.15306545940716237,0.14754564743509455,0.18587135062535615,0.3799540166782553,0.14176544043678754,0.018107726331216187,0.09023199826418307,0.12163271293672372,495000.0,2,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,1,3767,8,C0, ,10472,1,C0
8,1,0,1,3904,1385,1920,10,42,2016,40.8511693,-73.9157024,0.11134423599966391,0.23830753795338427,0.19304611179491307,0.19864302640713458,0.1924397236348053,0.3564115729714296,0.17223727643716713,0.04399183505114492,0.10376963732009462,0.14282611672234477,379000.0,2,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,2879,103,A1, ,10453,1,A1
9,2,0,2,6000,1400,1899,9,37,2016,40.6658719,-73.8817723,0.13121922718650544,0.11575066258093758,0.06470869495136775,0.12053696043330314,0.054147298172363224,0.2817313869686449,0.03336892076182765,0.18049314243864412,0.08470738550363212,0.045750855595350304,593000.0,3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4313,70,B2, ,11208,1,B2
10,1,0,1,560,1510,2000,2,7,2017,40.5628292,-74.1846956,0.28550512039184384,0.20433293687481077,0.3846162240207586,0.44016865445347203,0.2673146729193347,0.039416624928569406,0.3504811161448236,0.4219229064505953,0.33993760383736366,0.3332999731435255,350000.0,5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,5742,106,A5, ,10312,1,A5
11,1,0,1,3333,2353,1901,9,37,2016,40.6587172,-73.9528586,0.1013310429730623,0.05031964456642658,0.1356064027172633,0.18975686195278846,0.01731657009062217,0.212105282631391,0.09984971254709842,0.20408340620138685,0.10426592291591195,0.08485208035352051,1100000.0,3,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS                    ,1,5039,76,A1, ,11225,1,A1
12,1,0,1,4266,2160,1910,4,17,2017,40.6275556,-74.0355433,0.14295904773600676,0.04566722379482326,0.22315217621521677,0.2780036679746989,0.10502857194926704,0.12374359891894322,0.1881471738178372,0.2729599198660826,0.18171695036753185,0.17114661357779487,2200000.0,3,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,6004,38,A3, ,11209,1,A3
13,2,0,2,2003,1392,1925,6,25,2017,40.6223535,-73.9850805,0.13538878364157028,0.005429840694626112,0.17651988523239184,0.23262866335169596,0.06204895347690302,0.1706089282122003,0.14374972973069883,0.25069725192547526,0.15223197186409776,0.13295999183344556,1125000.0,3,BOROUGH PARK,02 TWO FAMILY DWELLINGS                    ,1,5505,25,B3, ,11204,1,B3
14,3,1,4,2000,2720,1931,3,13,2017,40.660958,-73.94234999999999,0.10209196889282235,0.059830517098211564,0.1248650225048754,0.17905663850303402,0.006882033513433282,0.22273300258399573,0.08916253757854525,0.1980564692040614,0.09733034939570051,0.07537355282684885,865000.0,3,FLATBUSH-NORTH,14 RENTALS - 4-10 UNIT                     ,2A,4799,5,S3, ,11225,2,S3
15,32,0,32,10000,24000,1930,12,51,2016,40.6556437,-73.9144735,0.11881533849954476,0.0815755047200717,0.09896615074682195,0.1546314678637378,0.021497283243408032,0.24746891818406547,0.06583469138304872,0.19513453406403927,0.09406962094452903,0.06244793031667089,5497920.0,3,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS             ,2,4717,46,C1, ,11212,2,C1
16,1,0,1,1870,2020,1986,6,24,2017,40.547511,-74.213321,0.31700092264732344,0.23632798706551902,0.4166429617476515,0.47234135906446223,0.2995716944720826,0.07184382813074014,0.38272241152789044,0.4534901123252971,0.3722923488188207,0.3657535325898399,439800.0,5,ROSSVILLE,01 ONE FAMILY DWELLINGS                    ,1,7037,100,A5, ,10309,1,A5
