,0,1
4,GROSS SQUARE FEET,0.47
11,deucli_k1,0.15
3,LAND SQUARE FEET,0.04
12,deucli_k2,0.04
10,longitude,0.03
5,YEAR BUILT,0.03
19,deucli_k9,0.02
18,deucli_k8,0.02
16,deucli_k6,0.02
15,deucli_k5,0.02
14,deucli_k4,0.02
0,RESIDENTIAL UNITS,0.02
9,latitude,0.02
7,sale_week,0.02
2,TOTAL UNITS,0.02
1,COMMERCIAL UNITS,0.01
13,deucli_k3,0.01
17,deucli_k7,0.01
6,sale_month,0.01
20,deucli_k10,0.01
8,sale_year,0.00
